ID,Title,Animation,Comedy,Drama,Adventure,Mistery,Fiction,Thriller,Musical
1,Perez Hilton,0,1,0,0,1,0,0,0
2,Andy Dick,0,1,1,1,1,0,0,0
3,TJ Lavin,0,1,0,0,1,0,0,0
4,Carson Kressley,0,1,1,1,1,0,0,0
5,RiFF RAFF,0,0,0,0,1,0,0,0
6,Chumlee,0,1,0,0,0,0,0,0
7,Gilbert Gottfried,0,0,1,1,1,0,1,0
8,Ice T,0,1,1,1,0,0,1,0
9,Ben Higgins,0,1,0,0,1,0,0,0
10,Evan Breen,0,0,0,0,0,1,0,0
11,Tommy â€œTinyâ€ Lister,0,0,1,1,0,0,0,0
12,Nick Colletti,0,0,0,0,1,1,0,0
13,Sonja Morgan,0,1,0,0,1,0,0,0
14,Simon Rex,0,0,1,1,0,0,0,0
15,Rex Smith,0,0,1,1,0,0,0,0
16,Tyler Lockett,0,0,0,0,1,0,0,0
17,David Hayter,0,0,1,1,0,0,0,0
18,Nev Schulman,0,1,0,0,0,0,0,0
19,Holly Madison,0,1,0,0,1,0,0,0
20,Sean Astin,0,0,1,1,1,0,1,0
21,Flavor Flav,0,1,0,0,0,0,1,0
22,Kate Flannery,0,0,1,1,1,0,1,0
23,Brian Baumgartner,0,0,1,1,0,0,0,0
24,Kyle Massey,0,0,1,1,0,0,0,0
25,Bethenny Frankel,0,1,0,0,1,0,1,0
26,Tito Ortiz,0,0,0,0,0,0,0,1
27,James Kennedy,0,1,0,0,1,0,0,0
28,Scheana Shay,0,1,0,0,1,0,0,0
29,Hal Sparks,0,0,1,1,1,0,0,0
30,Lance Bass,0,1,0,0,0,0,1,0
31,John Schneider,0,0,1,1,0,0,0,0
32,Corey Feldman,0,1,1,1,0,0,0,0
33,Lil TerRio,0,0,0,0,0,0,0,0
34,Vicki Gunvalson,0,1,0,0,1,0,0,0
35,Joe Santagato,0,0,0,0,0,1,0,0
36,Kristen Ledlow,0,0,0,0,1,0,0,0
37,Drew Lynch,0,1,0,0,1,0,0,0
38,Drake Bell,0,0,1,1,0,0,1,0
39,Keith Foulke,0,0,0,0,0,0,0,0
40,James White,0,0,0,0,0,0,0,0
41,Lilian Garcia,0,0,0,0,0,0,0,0
42,Chris Harrison,0,1,0,0,0,0,1,0
43,Pauly Shore,0,0,1,1,1,0,1,0
44,Teresa Giudice,0,1,0,0,0,0,0,0
45,Kevin Oâ€™Leary aka Mr. Wonderful,0,1,0,0,0,0,1,0
46,Roquan Smith,0,0,0,0,0,0,0,0
47,Norm Macdonald,0,0,0,0,0,0,0,0
48,Ruth Buzzi,0,0,1,1,1,0,0,0
49,Blac Chyna,0,1,0,0,0,0,1,0
50,Aaron Watson,0,0,0,0,0,0,0,0
51,Berner,0,0,0,0,0,0,0,0
52,Casey Deidrick,0,0,1,1,0,0,0,0
53,Dorinda Medley,0,1,0,0,1,0,0,0
54,Christy Carlson Romano,0,0,1,1,0,0,0,0
55,Todrick Hall,0,1,0,0,0,0,0,0
56,Randy Couture,0,0,1,1,0,0,0,1
57,Bret Hitman Hart,0,0,0,0,1,0,1,0
58,Bob Menery,0,0,0,0,0,0,0,0
59,James Haskell,0,0,0,0,1,0,0,0
60,Harley Morenstein,0,0,1,1,0,0,0,0
61,Bryan Callen,0,0,1,1,1,0,0,0
62,Vardan Antonyan,0,0,0,0,0,0,0,0
63,Sean Kingston,0,0,0,0,0,0,0,0
64,Melora Hardin,0,0,1,1,0,0,1,0
65,Beverley Mitchell,0,0,1,1,1,0,0,0
66,Jim Oâ€™Heir,0,0,1,1,1,0,0,0
67,Brian Scalabrine,0,0,0,0,0,0,0,0
68,Heather McDonald,0,0,1,1,0,0,0,0
69,Dr Drew,0,1,0,0,1,0,0,0
70,Hannah Ferrier,0,1,0,0,1,0,0,0
71,Ramona Singer,0,1,0,0,1,0,0,0
72,Juan Pablo Montoya,0,0,0,0,0,0,1,0
73,Ozzie Guillen,0,0,0,0,1,0,0,0
74,Brett Favre,0,0,0,0,0,0,1,0
75,Jeremy Roenick,0,0,0,0,0,0,1,0
76,Desi Oakley,0,0,1,1,0,0,0,0
77,Leslie David Baker,0,0,1,1,0,0,0,0
78,Darren Rovell,0,0,0,0,0,0,0,0
79,Emmanuelle Chriqui,0,0,1,1,0,0,1,0
80,Andy Milonakis,0,1,0,0,0,0,1,0
81,Brittany Furlan,0,0,1,1,1,1,0,0
82,Kelli Berglund,0,0,1,1,1,0,0,0
83,HELVETICA,0,0,1,1,0,0,0,0
84,Jenna Ushkowitz,0,0,1,1,1,0,0,0
85,Glen Rice,0,0,0,0,0,0,0,0
86,Terrell Owens,0,0,0,0,1,0,1,0
87,Ryan Cabrera,0,1,0,0,1,0,0,0
88,Tommy Chong,0,0,1,1,1,0,1,0
89,Ed Asner,0,0,1,1,1,0,1,0
90,Brandon Butler,0,0,1,1,0,0,0,0
91,Downtown Julie Brown,0,0,1,1,0,0,0,0
92,Josh Flagg,0,1,0,0,0,0,0,0
93,Ashley and Jared,0,1,0,0,1,0,0,0
94,Nick Viall,0,1,0,0,1,0,0,0
95,Robert Griffin III,0,0,0,0,1,0,1,0
96,Dave Foley,0,0,1,1,1,0,0,0
97,Keegan Allen,0,0,1,1,0,0,0,0
98,Ryan Lochte,0,0,0,0,0,0,1,0
99,Brandi Glanville,0,1,0,0,0,0,0,0
100,Erik Griffin,0,0,1,1,0,0,0,0
101,"George Jung aka ""Boston George""",0,0,0,0,1,0,1,0
102,Matt Barkley,0,0,0,0,1,0,0,0
103,Corey Clement,0,0,0,0,0,0,0,0
104,Katie Couric,0,0,0,0,0,0,1,0
105,John Salley,0,0,1,1,1,0,0,0
106,Stephen Sharer,0,0,0,0,0,1,0,0
107,Antonio Brown,0,0,0,0,0,0,1,0
108,Mario Cantone,0,0,1,1,0,0,0,0
109,Abby Lee Miller,0,1,0,0,0,0,0,0
110,Amy Bailey,0,0,1,1,1,0,0,0
111,Bridget Marquardt,0,1,0,0,0,0,0,0
112,Luke Donald,0,0,0,0,0,0,0,0
113,Johnathan Cyprien,0,0,0,0,1,0,0,0
114,Stormy Daniels,0,0,1,1,0,0,0,0
115,Terrell Davis,0,0,0,0,1,0,0,0
116,Paul Rodriguez,0,0,0,0,0,0,0,0
117,Gary Busey,0,0,1,1,0,0,1,0
118,BOW WOW,0,0,1,1,0,0,0,0
119,Marisol Nichols,0,0,1,1,1,0,0,0
120,Eddie George,0,0,0,0,0,0,0,0
121,Brian Urlacher,0,0,0,0,0,0,1,0
122,Robby Hayes,0,1,0,0,1,0,0,0
123,Brooke Hogan,0,1,0,0,1,0,0,0
124,Jimmy Bullard,0,0,0,0,1,0,0,0
125,Fred Jackson,0,0,0,0,0,0,0,0
126,Brodie Smith,0,0,0,0,0,0,0,0
127,Matt Forte,0,0,0,0,0,0,0,0
128,Brian Austin Green,0,0,1,1,0,0,0,0
129,Tommy Lee,0,0,0,0,0,0,1,0
130,Taylor Louderman,0,0,1,1,0,0,0,0
131,Kim Richards,0,1,1,1,0,0,0,0
132,Jackson Robert Scott,0,0,1,1,0,0,0,0
133,Kevin Pillar,0,0,0,0,1,0,0,0
